ID GEE,Fecha Precisa,Fecha Corta,Año,Mes,Día,Día Juliano,CLOUD_COVER,SUN_ELEVATION
LANDSAT/LC08/C02/T1/LC08_010065_20211204,2021-12-04 15:28:39.679,2021-12-04,2021,12,4,338,41.76,61.23130294
LANDSAT/LC09/C02/T1/LC09_010065_20211212,2021-12-12 15:28:36.901,2021-12-12,2021,12,12,346,46.7,60.11269943
LANDSAT/LC08/C02/T1/LC08_010065_20211220,2021-12-20 15:28:37.250,2021-12-20,2021,12,20,354,67.62,59.19654647
LANDSAT/LC09/C02/T1/LC09_010065_20211228,2021-12-28 15:28:35.288,2021-12-28,2021,12,28,362,83.58,58.45136772
LANDSAT/LC08/C02/T1/LC08_010065_20220105,2022-01-05 15:28:32.585,2022-01-05,2022,1,5,5,42.07,57.9641387
LANDSAT/LC09/C02/T1/LC09_010065_20220113,2022-01-13 15:28:31.598,2022-01-13,2022,1,13,13,32.94,57.69967191
LANDSAT/LC08/C02/T1/LC08_010065_20220121,2022-01-21 15:28:28.991,2022-01-21,2022,1,21,21,37.22,57.67816363
LANDSAT/LC09/C02/T1/LC09_010065_20220129,2022-01-29 15:28:34.396,2022-01-29,2022,1,29,29,21.12,57.84396063
LANDSAT/LC08/C02/T1/LC08_010065_20220206,2022-02-06 15:28:25.404,2022-02-06,2022,2,6,37,52.05,58.15262389
LANDSAT/LC09/C02/T1/LC09_010065_20220214,2022-02-14 15:28:30.097,2022-02-14,2022,2,14,45,88.04,58.55703173
LANDSAT/LC08/C02/T1/LC08_010065_20220222,2022-02-22 15:28:19.582,2022-02-22,2022,2,22,53,38.32,58.95270814
LANDSAT/LC09/C02/T1/LC09_010065_20220302,2022-03-02 15:28:18.905,2022-03-02,2022,3,2,61,79.2,59.29893527
LANDSAT/LC09/C02/T1/LO09_010065_20220318,2022-03-18 15:28:18.136,2022-03-18,2022,3,18,77,24.91,59.45281799
