ID GEE,Fecha Precisa,Fecha Corta,Año,Mes,Día,Día Juliano,CLOUD_COVER,SUN_ELEVATION,ET - mm,Velocidad del viento - m/s
LANDSAT/LC08/C02/T1/LC08_010065_20211204,2021-12-04 10:28:39.679,2021-12-04,2021,12,4,338,41.76,61.23130294,0.3,3.14
LANDSAT/LC09/C02/T1/LC09_010065_20211212,2021-12-12 10:28:36.901,2021-12-12,2021,12,12,346,46.7,60.11269943,0.05,0.0
LANDSAT/LC08/C02/T1/LC08_010065_20211220,2021-12-20 10:28:37.250,2021-12-20,2021,12,20,354,67.62,59.19654647,0.08,1.33
LANDSAT/LC09/C02/T1/LC09_010065_20211228,2021-12-28 10:28:35.288,2021-12-28,2021,12,28,362,83.58,58.45136772,0.05,1.33
LANDSAT/LC08/C02/T1/LC08_010065_20220105,2022-01-05 10:28:32.585,2022-01-05,2022,1,5,5,42.07,57.9641387,0.05,0.0
LANDSAT/LC09/C02/T1/LC09_010065_20220113,2022-01-13 10:28:31.598,2022-01-13,2022,1,13,13,32.94,57.69967191,0.23,1.78
LANDSAT/LC08/C02/T1/LC08_010065_20220121,2022-01-21 10:28:28.991,2022-01-21,2022,1,21,21,37.22,57.67816363,0.28,2.22
LANDSAT/LC09/C02/T1/LC09_010065_20220129,2022-01-29 10:28:34.396,2022-01-29,2022,1,29,29,21.12,57.84396063,0.48,3.58
LANDSAT/LC08/C02/T1/LC08_010065_20220206,2022-02-06 10:28:25.404,2022-02-06,2022,2,6,37,52.05,58.15262389,0.48,3.58
LANDSAT/LC08/C02/T1/LC08_010065_20220310,2022-03-10 10:28:16.344,2022-03-10,2022,3,10,69,29.2,59.46050726,0.38,0.89
